ida,idb,kmdist
CAN,TCD,9106
CAN,COG,10398
CAN,COD,10398
CAN,UGA,11405
CAN,KEN,11820
CAN,TAZ,12420
CAN,ZAN,12416
CAN,BDI,11409
CAN,RWA,11319
CAN,SOM,12188
CAN,DJI,11210
CAN,ETH,11120
CAN,ERI,10600
CAN,AGO,10548
CAN,MOZ,13406
CAN,ZMB,12286
CAN,ZWE,12633
CAN,MWI,12537
CAN,ZAF,13011
CAN,TRA,13011
CAN,OFS,13134
CAN,NAM,11933
CAN,LSO,13200
CAN,BWA,12759
CAN,SWZ,13299
CAN,MDG,14003
CAN,COM,13124
CAN,MUS,14910
CAN,SEY,13480
CAN,MAR,5896
CAN,DZA,6441
CAN,TUN,6956
CAN,LBY,7470
CAN,SDN,10185
CAN,IRN,9611
CAN,TUR,8225
CAN,IRQ,9410
CAN,EGY,8864
CAN,SYR,8932
CAN,LBN,8878
CAN,JOR,9074
CAN,ISR,8926
CAN,SAU,10352
CAN,YAR,10981
CAN,YEM,10981
CAN,YPR,11295
CAN,KWT,9976
CAN,BHR,10435
CAN,QAT,10479
CAN,ARE,10796
CAN,OMN,11105
CAN,AFG,10496
CAN,TKM,9750
CAN,TJK,10080
CAN,KGZ,9853
CAN,UZB,9794
CAN,KAZ,9822
CAN,CHN,10544
CAN,TBT,11564
CAN,MNG,9728
CAN,TWN,11992
CAN,KOR,10568
CAN,PRK,10388
CAN,KOR,10568
CAN,JPN,10382
CAN,IND,11401
CAN,BTN,11823
CAN,PAK,10733
CAN,BGD,12272
CAN,MMR,13128
CAN,LKA,13789
CAN,NPL,11729
CAN,MDV,13779
CAN,THA,13500
CAN,KHM,13735
CAN,LAO,13063
CAN,VNM,13764
CAN,DRV,12630
CAN,RVN,13764
CAN,MYS,14623
CAN,SGP,14850
CAN,BRN,14371
CAN,PHL,13192
CAN,IDN,15629
CAN,ETM,15436
CAN,AUS,16084
CAN,PNG,14256
CAN,NZL,14456
CAN,VAN,13382
CAN,SLB,13347
CAN,FJI,12638
CAN,MSI,11262
CAN,PAL,13407
CAN,FSM,12111
CAN,WSM,12782
BHS,USA,1623
BHS,CAN,2343
BHS,CUB,655
BHS,HTI,727
BHS,DOM,891
BHS,JAM,700
BHS,TTO,2163
BHS,BRB,2123
BHS,DMA,1948
BHS,GRN,2024
BHS,SLU,1938
BHS,SVG,1977
BHS,AAB,1678
BHS,SKN,1575
BHS,BLZ,1470
BHS,MEX,2443
BHS,GTM,1853
BHS,HND,1632
BHS,SLN,1801
BHS,NIC,1728
BHS,CRI,1804
BHS,PAN,1735
BHS,COL,2185
BHS,VEN,1843
BHS,GUY,2704
BHS,SUR,3020
BHS,ECU,2705
BHS,PER,4032
BHS,BRA,5344
BHS,BOL,4562
BHS,PRY,5829
BHS,CHL,6392
BHS,ARG,6735
BHS,URY,6812
BHS,UK,6983
BHS,IRL,6529
BHS,NLD,7289
BHS,BEL,7289
BHS,LUX,7424
BHS,FRA,7180
BHS,MNC,7659
BHS,LIE,7728
BHS,CHE,7593
BHS,ESP,6842
BHS,AND,7221
BHS,PRT,6402
BHS,GMY,7868
BHS,GFR,7488
BHS,GDR,7868
BHS,POL,8367
BHS,AUH,8191
BHS,AUT,8191
BHS,HUN,8427
BHS,CZE,7997
BHS,CZE,7997
BHS,SVK,8250
BHS,ITA,8155
BHS,SNM,8046
BHS,MLT,8505
BHS,ALB,8719
BHS,SRB,8644
BHS,MNE,8619
BHS,MKD,8808
BHS,HRV,8271
BHS,YUG,8644
BHS,BHI,8535
BHS,SLN,8128
BHS,GRC,9157
BHS,CYP,10075
BHS,BGR,8943
BHS,MDA,9099
BHS,ROU,9060
BHS,RUS,9189
BHS,EST,8291
BHS,LVA,8385
BHS,LTU,8551
BHS,UKR,9052
BHS,BLR,8726
BHS,ARM,10577
BHS,GEO,10596
BHS,AZE,10923
BHS,FIN,8260
BHS,SWE,7931
BHS,NOR,7522
BHS,DNK,7722
BHS,ISL,5887
BHS,CPV,5473
BHS,STP,9246
BHS,GNB,6506
BHS,GNQ,9505
BHS,GNB,6326
BHS,MLI,7242
BHS,SEN,6202
BHS,BEN,8579
BHS,MRT,6212
BHS,NER,8228
BHS,CIV,7768
BHS,GIN,6794
BHS,BFA,7901
BHS,LBR,7214
BHS,SLE,6871
BHS,GHA,8371
BHS,TGO,8429
BHS,CMR,9607
BHS,NGA,8647
BHS,GAB,9544
BHS,CAF,10289
BHS,TCD,9556
BHS,COG,10320
BHS,COD,10320
BHS,UGA,11868
BHS,KEN,12354
BHS,TAZ,12842
BHS,ZAN,12832
BHS,BDI,11692
BHS,RWA,11687
BHS,SOM,13040
BHS,DJI,12287
BHS,ETH,12019
BHS,ERI,11688
BHS,AGO,10285
BHS,MOZ,12905
BHS,ZMB,12126
BHS,ZWE,12452
BHS,MWI,12566
BHS,ZAF,12473
BHS,TRA,12473
BHS,OFS,12402
BHS,NAM,11288
