11;Austria;173;Poland;753;Oil, essential nes;5610;Import Quantity;tonnes;2.0;;1.0;0.0;2.0;3.0;4.0;0.0;0.0;;;0.0;0.0;1.0;27.0;491.0;1559.0;979.0;1005.0;360.0;642.0;698.0;762.0;614.0;316.0;652.0;632.0;751.0
11;Austria;173;Poland;244;Oil, groundnut;5610;Import Quantity;tonnes;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;
11;Austria;173;Poland;334;Oil, linseed;5610;Import Quantity;tonnes;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;;
11;Austria;173;Poland;271;Oil, rapeseed;5610;Import Quantity;tonnes;2138.0;7397.0;3676.0;1686.0;715.0;1218.0;;;;;;;;;;;;;;;;12923.0;6794.0;11604.0;18801.0;19541.0;6311.0;3077.0
11;Austria;173;Poland;237;Oil, soybean;5610;Import Quantity;tonnes;;;;;;;;;;;;;;;;;;;;;;;;1.0;147.0;;;
11;Austria;173;Poland;268;Oil, sunflower;5610;Import Quantity;tonnes;;;;;;;7.0;;;;;;;;;;;0.0;0.0;;4074.0;2487.0;1043.0;;25.0;;;
11;Austria;173;Poland;340;Oil, vegetable origin nes;5610;Import Quantity;tonnes;24.0;138.0;;;;;;;;;0.0;;;;;;;0.0;0.0;;;;120.0;0.0;0.0;24.0;;72.0
11;Austria;173;Poland;1168;Oils, fats of animal nes;5610;Import Quantity;tonnes;;;44.0;;24.0;;;;;;;;;;;;;;;;;;;;;;;
11;Austria;173;Poland;339;Oilseeds nes;5610;Import Quantity;tonnes;;;;138.0;;11.0;;;;;;;;;;10.0;2.0;;;;;12.0;93.0;;26.0;6.0;49.0;47.0
11;Austria;173;Poland;262;Olives preserved;5610;Import Quantity;tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0
11;Austria;173;Poland;403;Onions, dry;5610;Import Quantity;tonnes;;;;;;24.0;9.0;;;20.0;;;538.0;;70.0;64.0;25.0;86.0;22.0;169.0;220.0;;0.0;0.0;;;1471.0;151.0
11;Austria;173;Poland;402;Onions, shallots, green;5610;Import Quantity;tonnes;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;
11;Austria;173;Poland;490;Oranges;5610;Import Quantity;tonnes;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;38.0;;38.0;;
11;Austria;173;Poland;22;Pastry;5610;Import Quantity;tonnes;18.0;21.0;10.0;3.0;5.0;1.0;;0.0;3.0;;;1.0;12.0;17.0;7.0;74.0;91.0;99.0;820.0;1967.0;2612.0;2578.0;2168.0;2703.0;4503.0;5105.0;4757.0;4778.0
33;Canada;91;Guyana;544;Strawberries;5610;Import Quantity;tonnes;;;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;
33;Canada;91;Guyana;168;Sugar confectionery;5610;Import Quantity;tonnes;;;;;;;;;;1.0;;;;;;;0.0;0.0;1.0;1.0;2.0;3.0;2.0;1.0;5.0;1.0;0.0;1.0
33;Canada;91;Guyana;162;Sugar Raw Centrifugal;5610;Import Quantity;tonnes;19967.0;20431.0;;;;;;39224.0;47815.0;29897.0;;;;;;;;10683.0;0.0;1.0;;;2.0;0.0;;;;0.0
33;Canada;91;Guyana;164;Sugar refined;5610;Import Quantity;tonnes;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;2.0;1.0;;
33;Canada;91;Guyana;167;Sugar, nes;5610;Import Quantity;tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
33;Canada;91;Guyana;122;Sweet potatoes;5610;Import Quantity;tonnes;;;;;;;;;;6.0;3.0;;;;;;;0.0;1.0;;;1.0;0.0;;;;;
33;Canada;91;Guyana;495;Tangerines, mandarins, clementines, satsumas;5610;Import Quantity;tonnes;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;
33;Canada;91;Guyana;471;Vegetables in vinegar;5610;Import Quantity;tonnes;;;;;;;;;;;;;;;;;;1.0;0.0;0.0;1.0;;1.0;0.0;0.0;0.0;0.0;
33;Canada;91;Guyana;469;Vegetables, dehydrated;5610;Import Quantity;tonnes;;;;;;;;;;;;;;;;;11.0;;;;;;;;;0.0;;
33;Canada;91;Guyana;463;Vegetables, fresh nes;5610;Import Quantity;tonnes;;;;;;;;;10.0;9.0;10.0;7.0;1.0;6.0;1.0;5.0;1.0;6.0;5.0;1.0;0.0;2.0;1.0;3.0;1.0;3.0;5.0;6.0
33;Canada;91;Guyana;473;Vegetables, frozen;5610;Import Quantity;tonnes;;;;51.0;;;;;;0.0;;;0.0;0.0;;;;;;2.0;0.0;;;0.0;0.0;;6.0;0.0
33;Canada;91;Guyana;472;Vegetables, preserved nes;5610;Import Quantity;tonnes;;;;;;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;0.0;0.0;4.0;;;;
33;Canada;91;Guyana;474;Vegetables, temporarily preserved;5610;Import Quantity;tonnes;;;;;;;;;;;;;0.0;;;;;;;;;;2.0;;;;;
33;Canada;91;Guyana;232;Walnuts, shelled;5610;Import Quantity;tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
