V1,V2,V3,V4,V5,v5ny,FAC1_1,ZV3,ZV4,Zv5ny,FAC1_2
Algeria,1996,1297.0185,2784,0.0153549377537,15.3549377537,-0.603804649569696,-1.00048244052895,-0.141556946720919,-0.376655574419839,-0.603804649569695
Algeria,1987,1271.7533,2631,0.0170135152625,17.0135152625,-0.727784496202694,-1.01814004332853,-0.452316906000644,-0.330027369578292,-0.727784496202692
Algeria,1997,1258.9409,2733,0.0199663671325,19.9663671325,-0.617404186093881,-1.02709450520136,-0.245143599814161,-0.24701274944111,-0.61740418609388
Algeria,1995,1410.8018,2785,0,20,-0.527514399651965,-0.9209603976943,-0.139525835875954,-0.246067216159199,-0.527514399651963
Algeria,1991,1319.471,2733,0.020282286032,20.282286032,-0.596658070455497,-0.984790606430755,-0.245143599814161,-0.238131204212717,-0.596658070455495
Algeria,1998,1339.7491,2792,0.0203346458974,20.3346458974,-0.53950972102794,-0.970618439365771,-0.125308059961195,-0.236659191891078,-0.539509721027938
Algeria,1992,1349.1301,2865,0.0204196803843,20.4196803843,-0.47326536352638,-0.964062149612953,0.0229630317212882,-0.234268585812838,-0.473265363526379
Algeria,1990,1208.6744,2754,0.0214580862753,21.4580862753,-0.600819573505161,-1.06222527365462,-0.202490272069885,-0.205075495747816,-0.600819573505159
Algeria,1993,1406.804,2865,0.0220478208975,22.0478208975,-0.441563098554892,-0.923754421271085,0.0229630317212882,-0.188496067520799,-0.44156309855489
Algeria,1986,1287.2534,2627,0.022304033528,22.304033528,-0.679056895809104,-1.00730717403979,-0.460441349380506,-0.181293066783988,-0.679056895809103
Algeria,1988,1251.9559,2696,0.0236970641096,23.6970641096,-0.617701439433239,-1.03197625383407,-0.320294701077885,-0.142130281225428,-0.617701439433237
Algeria,2001,1369.6288,2886,0.0240420270299,24.0420270299,-0.416587088371215,-0.94973580735135,0.0656163594655641,-0.132432210664876,-0.416587088371213
Algeria,2003,1574.5807,2970,0.0248413873856,24.8413873856,-0.276619504297735,-0.806496915784287,0.236229670442668,-0.109959496420271,-0.276619504297734
Algeria,2000,1358.4263,2812,0.0256818021685,25.6818021685,-0.468717726057627,-0.957565125756205,-0.0846858430618845,-0.0863326038324903,-0.468717726057625
Algeria,2004,1770.7094,2987,0.026071789,26.071789,-0.192936314595672,-0.669424472969709,0.270758554807082,-0.0753687593523823,-0.192936314595671
Algeria,1994,1333.4907,2763,0.0262463370786,26.2463370786,-0.513106259694999,-0.974992374318231,-0.184210274465195,-0.0704616244609006,-0.513106259694998
Algeria,2006,1729.1074,3047,0.0262649008964,26.2649008964,-0.151967530751841,-0.698499706558531,0.392625205505013,-0.0699397329638636,-0.151967530751839
Algeria,2007,1656.1729,3041,0.0265323205573,26.5323205573,-0.176290661295307,-0.749472919966155,0.38043854043522,-0.0624216648235787,-0.176290661295306
Algeria,1999,1400.0287,2843,0.0265939367717,26.5939367717,-0.421580600041695,-0.928489612611269,-0.0217214068679533,-0.0606894253283726,-0.421580600041694
Algeria,2009,1828.3832,3110,0.0274981709676,27.4981709676,-0.0573954063901842,-0.62911681451687,0.520585188737841,-0.0352683539057519,-0.0573954063901829
Algeria,2005,1782.9556,2958,0.0275465107233,27.5465107233,-0.20096152027035,-0.660865722775598,0.211856340303082,-0.0339093604195803,-0.200961520270349
Algeria,2010,1834.8626,3142,0,29,-0.0144855943743211,-0.624588424811677,0.585580735776738,0.00695312286466201,-0.0144855943743198
Algeria,2002,1449.2821,2925,0.0298029983653,29.8029983653,-0.307716252614966,-0.894066889904579,0.144829682419219,0.0295281138228633,-0.307716252614964
Algeria,2008,1635.387,3048,0.0299089300952,29.9089300952,-0.146060020797696,-0.76399998351728,0.394656316349979,0.0325062118464948,-0.146060020797694
Algeria,1989,1297.5992,2760,0.0333772694929,33.3772694929,-0.462170353184665,-1.00007659494112,-0.190303607000092,0.130012924097147,-0.462170353184664
Argentina,1990,4268.0528,2911,0.000654808530705,0.654808530705,0.251925543270747,1.0759445647329,0.116394130589702,-0.789925761052813,0.251925543270748
Argentina,1989,4367.8833,2959,0,0.68,0.32291277513386,1.14571513121501,0.213887451148047,-0.789217543930421,0.322912775133862
Argentina,1988,4535.6734,3012,0.000702093120054,0.702093120054,0.418269661699281,1.26298200183161,0.32153632593122,-0.788596431849736,0.418269661699282
Argentina,1987,4839.5535,3096,0.000902840708883,0.902840708883,0.582117115162116,1.47536085117767,0.492149636908324,-0.782952740407099,0.582117115162117
Argentina,1986,4795.6891,3028,0.00112059639589,1.12059639589,0.512690336581017,1.44470444821066,0.354034099450668,-0.776830893990334,0.512690336581019
Argentina,1991,4486.8653,3010,0.00131757535866,1.31757535866,0.40764925806918,1.22887049496832,0.317474104241289,-0.771293151330264,0.407649258069182
Argentina,2002,3918.9174,2977,0.00182541074216,1.82541074216,0.21586946200004,0.831937225924018,0.250447446357427,-0.757016186785655,0.215869462000042
Argentina,2010,4358.7489,3155,0.00238813559227,2.38813559227,0.503930148600449,1.13933118780619,0.611985176761289,-0.741196094302101,0.50393014860045
Argentina,1996,4337.7263,3156,0.00243925936436,2.43925936436,0.499030326266706,1.12463869692488,0.614016287606255,-0.73975883273028,0.499030326266707
Argentina,1993,4761.0273,3116,0.00247537606723,2.47537606723,0.590210239163752,1.42047965296983,0.532771853807634,-0.738743470463103,0.590210239163753
Argentina,2003,4034.6151,3009,0.00251852365989,2.51852365989,0.283813495663428,0.912797224318074,0.315442993396323,-0.737530446182781,0.283813495663429
