Japan,145.9351,168.2851,184.99759999999998,218.691,224.6935,223.0244,240.3261,249.9799,280.33529999999996,308.49429999999995,324.4954,342.5789,356.16150000000005,354.20109999999994,353.56179999999995,368.3184,397.4067,429.4953,452.55799999999994,447.3243,453.1852,456.77079999999995,466.8203,479.2665,496.46659999999997,508.69629999999995,531.492,558.1007999999999,581.0663,580.536,590.0366999999999,613.2638999999999,635.0844999999999,649.1624999999999,683.7200999999999,677.8967,661.4268,661.7773,675.0971,688.3702,662.8822,636.0797,650.1836999999999,631.3027999999999,637.6586,618.0293999999999,630.855,625.4698,623.4225,630.3716
Iceland,942.4558999999999,1048.0319,1017.4715,1021.3316,1022.3634,1012.7471,931.0686,815.8328999999999,856.8006,885.6854,893.7138,882.7000999999999,946.6143,901.4843,1004.7494999999999,900.4441999999999,870.1591999999998,915.6451,997.5228999999999,885.0481,916.241,860.3755999999998,962.4385,962.3267999999999,1002.2671,997.0336,992.8980999999999,876.6551,851.2803,864.707,852.3616999999999,883.3813,876.8783999999999,913.906,865.0708999999999,881.4923999999999,918.3765999999998,883.4164999999999,926.0365999999999,916.0142,960.0908999999999,967.5763999999999,964.1273999999999,937.6255,895.1232,936.4741999999999,952.6175999999999,964.1545999999998,950.8666999999999,919.4678999999999
Congo,89.3202,92.72179999999999,98.1804,92.7524,88.6559,78.4413,89.2374,112.86699999999998,128.5632,124.18999999999998,121.1363,115.9289,105.55839999999999,80.47049999999999,76.4783,90.5997,100.24040000000001,115.92689999999999,133.89010000000002,114.15949999999998,109.46769999999998,145.4106,126.7783,150.95229999999998,139.6233,122.9943,102.4674,110.6078,87.6232,54.41059999999999,253.46819999999997,357.99899999999997,276.8697,221.2752,195.5121,104.43629999999999,106.26069999999999,106.34819999999999,67.9108,91.8613,67.878,91.3059,83.69559999999998,123.1197,92.0309,103.10319999999999,90.47689999999999,119.67399999999999,133.7499,98.13559999999998
"China, mainland",35.7365,42.084599999999995,63.6076,78.6753,86.6469,91.05079999999998,93.79119999999999,90.14339999999999,86.07199999999999,83.15969999999999,92.0971,98.6504,97.45599999999999,96.5304,97.7329,95.27459999999999,94.3346,101.3898,120.5677,132.9797,137.1919,144.5003,148.56019999999995,163.75859999999997,185.9107,192.738,205.8569,222.7399,230.4066,242.9655,259.77819999999997,283.2163,302.6139,333.4271,353.8653,371.26079999999996,389.81729999999993,416.7735,429.8796,455.20459999999997,458.1178,470.89809999999994,494.27849999999995,504.2658,519.1158,534.419,549.2832999999999,570.7290999999999,588.2137,604.0671
New Zealand,1718.9389999999999,1960.2767999999996,1820.8219999999997,1729.4925000000003,1569.8207000000002,1859.9823999999999,1793.5158999999999,1904.3640999999998,2098.2644,1712.2617999999998,1702.8811,1758.5379999999998,1841.6464999999998,1732.6209,2437.4518,2973.6367,2018.6694000000002,2387.7781,1742.7730999999999,1989.3973999999998,1846.4969,1985.9069,1556.3732999999997,1820.7333999999998,1870.0913999999998,2004.8017000000002,1607.1189,1869.5188999999998,1260.8902,1607.1175999999998,1450.1291999999999,1161.0418,1444.4890999999998,959.3491,1600.5052,1370.5159999999998,1373.6601999999998,1054.4229,1176.7040000000002,891.3126,1029.3185999999998,1025.0638,1032.7787,1053.3382,840.1955,1053.6698999999999,1234.9611,1266.1714000000002,1120.9191999999998,936.2931
Iraq,245.033,241.58479999999997,237.2278,235.0285,213.71999999999997,213.94889999999998,211.0759,216.5861,212.613,218.34359999999998,215.3129,213.3197,206.7558,211.8911,213.12310000000002,217.09390000000002,215.5643,233.0119,248.10690000000002,251.51020000000003,289.505,300.1472,340.2001,367.8117,362.46569999999997,335.9013,323.8121,346.5914,296.38509999999997,288.7519,125.5599,135.2686,132.4351,108.26419999999999,88.1447,87.88810000000001,94.1234,98.2166,116.92139999999999,135.2711,124.73409999999998,134.6003,92.26339999999999,109.52329999999999,106.25979999999998,105.5029,84.1892,131.1967,150.91039999999998,148.6328
Guinea-Bissau,174.4933,174.3261,175.52280000000002,172.5881,172.1958,173.23699999999997,178.235,178.44269999999997,181.7779,185.9194,187.41419999999997,183.74859999999998,177.1857,171.2138,177.15849999999998,184.3156,194.003,195.9575,200.149,190.48309999999998,192.9463,195.1996,199.19619999999998,196.50959999999998,193.7464,199.85989999999998,202.48430000000002,198.8819,204.2584,206.9578,212.2286,227.85069999999996,225.66889999999998,213.15959999999995,206.51719999999997,214.17109999999997,213.326,211.6059,209.57959999999997,210.27149999999997,206.72979999999998,193.15919999999997,205.70989999999998,199.1197,198.9536,201.4459,201.28619999999998,219.78969999999998,210.2287,216.82719999999998
Ecuador,439.98199999999997,438.4806,442.1492,442.7305,444.6838,451.6493,452.2831,464.9957999999999,472.0701999999999,497.04179999999997,455.8517,463.0124,464.15110000000004,487.0702,488.66499999999996,494.0186,520.5600999999999,556.6297999999999,579.2561000000001,526.0894,508.2483,523.5674999999999,484.50339999999994,488.5771,482.50919999999996,475.6467999999999,466.38289999999995,492.9299,485.9172,499.7536,530.8618999999999,524.607,554.6624999999999,562.7212,614.1348,631.7067999999999,663.1042,663.7055,658.2968000000001,671.1314,719.9269999999999,717.3104999999999,714.866,728.1795,715.1505999999999,728.9624999999999,761.5242999999999,813.7692999999999,805.1215,813.3518999999999
Sweden,1277.9497000000001,1255.9761,1209.0881999999997,1223.7534999999998,1247.0311,1268.3545,1234.7829,1246.52,1238.6049,1260.4305,1269.0492,1213.6855,1235.9298,1344.7260999999999,1417.0743,1470.9009999999998,1474.5760999999998,1450.7669999999998,1470.7713999999999,1497.0731,1474.5266,1415.4244999999999,1427.6608999999999,1416.0823,1395.7819,1395.5151,1382.2556,1377.7372,1426.1088999999997,1371.8393999999998,1352.9505,1397.1661,1419.8688000000002,1472.2108,1409.8752,1440.4989,1451.7214,1482.6522,1503.5074,1474.556,1498.2811,1597.3452,1624.6722,1621.0446,1611.6616,1613.9517999999998,1593.5553,1591.615,1578.7714,1595.8402999999998
Greece,365.18629999999996,436.74569999999994,504.49109999999996,513.2155999999999,599.9958,641.7431999999999,682.3589,710.6931,754.2783999999999,868.7880999999999,791.2149999999999,789.6527999999998,919.1337,896.7066999999998,911.5195,1058.3887,1052.7681,1151.7086,1123.4361,1074.5486999999998,951.7911999999999,1076.0149999999999,1144.1301999999998,1138.5587,1131.0712999999998,1168.6511999999998,1195.0556,1149.0412000000001,1227.0661,1128.3586999999998,1120.1856,1190.0333,1161.6309999999999,1170.0292,1243.5104,1186.0584,1240.4411999999998,1251.777,1369.6227,1679.9053999999999,1358.0961,1268.7886999999998,1263.5918,1209.9124,1216.3321999999998,1308.2317999999998,1301.6677,1252.9712999999997,1281.8537,1317.7976
